idx	path	transcription	rarity	min_freq	length
0	files/fcea85573b1fa4b69de234c2250a6cf6.wav	сбер почему в лидерах продаж крупных московских книжных магазинов нет книг донцовой люди перестали ее читать или магазины намеренно не включают	13.37	1	21
1	files/4473d6452c31a37fb6a749c4df4cea70.wav	салют чаевые это благодарность за работу и дополнительная мотивация или же это работодатель перекладывает часть зарплаты работникам на клиента	11.34	1	19
2	files/617922428c62293332b99cf8f498336b.wav	сбер можно ли кидать зигу например в общественном месте даже не подразумевая ее плохой смысл	9.66	1	15
3	files/9ff239ffc3319d9ba7b084bf19e0df95.wav	сбер что хорошего и интересного можно подарить девушке которая любит литературу и хорошо разбирается в ней	8.36	1	16
4	files/a8aa0c00851c4fe174753077ebdc1e11.wav	джой насколько достоверны рассказы что животные годами испытывают тоску по умершим хозяевам	8.04	1	12
5	files/ba2c372abca95a908b1fed75be22fd75.wav	салют особенно в каких отраслях этот процесс связан с развитием новых технологий	7.65	1	12
6	files/f3980740d243b699bfca7f64788ef960.wav	джой что стало по мнению шраера попыткой бунина уравнять счет с набоковым	7.32	1	12
7	files/59646387f37b1f1868e3ebe74d5f23ec.wav	афина почему запрещают польские яблоки и турецкие томаты а не китайские товары	7.20	1	12
8	files/c26a1c82dd00c1ee018dbdac162d31cf.wav	салют какой сорт инжира не нуждается в опылении с помощью ос малюток	7.13	1	12
9	files/31fa05f1885b0fc4d803b95e0e03cdf7.wav	салют почему выходные проходят так быстро и как продлить их с психологической точки зрения	7.06	1	14
10	files/f1d21a1fe84db1e983f3b6440acf2c96.wav	афина были ли среди колонизаторов новых земель в северной америке русские	7.04	1	11
11	files/d51f705072e374297578a518039de84e.wav	джой включить пожалуйста блинк сто восемьдесят два вотс май эйдж эгейн	6.95	1	11
12	files/e4b2b42f8f9a6d97664561b2123fc983.wav	афина можно ли считать религии философскими течениями а священные книги философскими трудами	6.78	1	12
13	files/b2832eec75ecde65397bc24e829e845b.wav	сбер какую пьесу в качестве сюжета для либретто предложил да понте	6.77	1	11
14	files/d0ee46550aef28f5dd65d224706b1766.wav	афина сделай бронирование на послезавтра на два часа дня столика на четверых в кафе урожай	6.57	1	15
